GEOID20,NAME20,NAMELSAD20,TOWN_NAME,CouncilOfG,County,Area_SqMil,Area_Sqft,Area_SqM,HealthSens,SocioEcoFa,SensitiveP,PollExposu,PollSource,PollutionB,Score,Percentile,Rank,TotalPopul,PercentBla,PercentAme,PercentAsi,PercentNat,PercentOth,PercentHis,PercentWhi,TotalPerce,Unemployed,PovertyPer,Median_Inc
9015907200,9072,Census Tract 9072,Plainfield,Northeastern CT,Windham,13.666929,381012108.4,35397183.14,6.8,4.5,5.7,2.8125,3.225,1.4,7.98,30.94,3.1,5076,1.24,0,1.56,0,0,0.41,95.13,3.21,11.9,17.99,73295
9015902200,9022,Census Tract 9022,Eastford,Northeastern CT,Windham,29.265192,815866742.3,75796500.59,0.7,2.5,1.3,1.157143,2.242857,0.1,0.13,2.28,0.2,1648,0.49,0.55,0.55,0,2.49,4.49,92.17,8.56,28.8,8.3,98000
9015800300,8003,Census Tract 8003,Windham,Southeastern CT,Windham,1.689036,47087625.16,4374583.524,7.2,8.4,8.1,3.8,4.07,3.7,29.97,57,5.7,7272,11.03,0.78,2.09,0,10.31,41.28,63.11,65.5,76.3,62.65,28274
9015902500,9025,Census Tract 9025,Pomfret,Northeastern CT,Windham,40.57889,1131274539,105098843.8,3.1,4,3.4,1.0375,2.3,0,0,0,0,4255,1.88,0.38,1.88,0.28,0.16,3.41,93.47,7.99,26.1,11.18,93467
9015904500,9045,Census Tract 9045,Killingly,Northeastern CT,Windham,4.610511,128533660.7,11941167.82,5.4,7.6,6.7,2.9125,4.3,2.4,16.08,42.21,4.2,5512,2.25,0,2.1,0,2.87,12.54,81.86,19.76,122.1,25.58,70767
9015800400,8004,Census Tract 8004,Windham,Southeastern CT,Windham,2.27797,63506147.52,5899914.163,6.1,6.1,6.2,2.2125,3.66,1,6.2,26.85,2.7,3567,1.43,0.39,0,0,6.98,28.48,79.73,37.29,26.7,19.04,65612
9015800600,8006,Census Tract 8006,Windham,Southeastern CT,Windham,0.621614,17329604.78,1609972.966,6.9,9.5,8.4,2.85,4.611111,2.5,21,47.21,4.7,3859,7.96,1.01,0,0,23.66,71.88,47.32,104.51,67.9,52.68,35000
9015907100,9071,Census Tract 9071,Plainfield,Northeastern CT,Windham,13.623351,379797235.2,35284317.73,6.7,6,6.5,3.3875,3.8375,2.7,17.55,43.8,4.4,4445,4.45,1.28,1.46,0,0,6.34,86.16,13.54,45.5,17.13,71328
9015900100,9001,Census Tract 9001,Thompson,Northeastern CT,Windham,27.863153,776780138.4,72165236.27,2.4,4.4,3.3,2.057143,3.07,0.6,1.98,13.77,1.4,4672,0.19,0.54,1.8,0,0.83,7.75,89.73,11.11,60.6,8.37,98015
9015830100,8301,Census Tract 8301,Ashford,Northeastern CT,Windham,39.469678,1100351482,102225997.7,2.2,4,3,1.6,2.8625,0.2,0.6,6.83,0.7,4193,0,0,0.6,0,2.89,5.13,92.68,8.61,45.1,11.69,90441
9015903101,9031.01,Census Tract 9031.01,Putnam,Northeastern CT,Windham,1.425425,39738581.8,3691835.055,6.6,4.9,5.9,2.857143,4.685714,2.5,14.75,39.82,4,3418,0.61,0,0,0,0,6.58,95.93,7.2,2.7,23.81,52392
9015904102,9041.02,Census Tract 9041.02,Killingly,Northeastern CT,Windham,16.723599,466227174.1,43313921.81,5.7,3.9,4.8,1.8625,2.1375,0.2,0.96,8.76,0.9,2312,0,0,0,0,0,0,96.93,0,-9983,14.1,79042
9015905101,9051.01,Census Tract 9051.01,Brooklyn,Northeastern CT,Windham,10.515091,293143918.2,27233961.16,6.1,5,5.6,1.975,3.511111,0.8,4.48,22.75,2.3,4393,0.84,0,8.33,0,1.48,4.73,84.82,15.39,80.4,9.02,82048
9015800502,8005.02,Census Tract 8005.02,Windham,Southeastern CT,Windham,16.815484,468788785.2,43551903.26,5.7,4.8,5.3,1.375,2.575,0.1,0.53,6.48,0.6,2535,1.66,0,1.34,0,7.69,14.6,85.88,25.29,46.8,8.01,72750
9015903102,9031.02,Census Tract 9031.02,Putnam,Northeastern CT,Windham,2.068871,57676807.77,5358350.779,6.4,7.9,7.5,3.677778,4.425,3.8,28.5,55.63,5.6,3555,2.03,0,1.29,0,11.98,15.11,81.63,30.41,57.3,11.17,67620
9015901102,9011.02,Census Tract 9011.02,Woodstock,Northeastern CT,Windham,43.971685,1225860215,113886140.6,2.2,2.2,2,1.414286,4.211111,0.5,1,9.22,0.9,5184,0,0,0.42,0,0,1.08,94.7,1.5,26.1,9.2,92880
9015901101,9011.01,Census Tract 9011.01,Woodstock,Northeastern CT,Windham,17.897326,498948811.4,46353861.38,2.2,2.7,2.3,0.714286,2.277778,0,0,0,0,3003,0.3,0,0,0,0,12.09,87.08,12.39,55.2,2.8,95291
9015904101,9041.01,Census Tract 9041.01,Killingly,Northeastern CT,Windham,20.880294,582109184.9,54079712.89,5.1,3.8,4.3,3.4,1.9125,1.4,6.02,26.51,2.7,5083,0.77,0,0,0,0.02,0,97.95,0.79,93,7,85869
9015800501,8005.01,Census Tract 8005.01,Windham,Southeastern CT,Windham,5.572622,155355785.2,14433024.73,5.3,7.7,6.7,2.65,2.955556,1.1,7.37,29.24,2.9,3706,1.32,0,0.05,0,5.4,48.3,81.6,55.07,45.2,36.89,47500
9015905102,9051.02,Census Tract 9051.02,Brooklyn,Northeastern CT,Windham,18.72665,522069031.6,48501800.12,6,5.6,5.9,0.666667,2,0,0,0,0,4028,3.43,0.27,0,0,0.7,5.36,91.58,9.76,77.8,13.57,67813
9015800700,8007,Census Tract 8007,Windham,Southeastern CT,Windham,0.699492,19500730.83,1811677.176,6.3,7.2,7,2.4375,3.1,0.9,6.3,27.19,2.7,3541,0.4,0,5.68,0,4.6,27.14,84.58,37.81,41.5,35.05,42500
9015815000,8150,Census Tract 8150,Chaplin,Northeastern CT,Windham,19.526886,544378337.3,50574402.44,4.3,4.5,4.2,1.557143,2.077778,0.1,0.42,5.57,0.6,2208,0.36,0.54,0.41,0,1.68,9.51,87.91,12.5,1.8,8.11,85083
9015820000,8200,Census Tract 8200,Hampton,Northeastern CT,Windham,25.498369,710853736.9,66040473.15,3.9,3.9,3.7,0.666667,2.2625,0,0,0,0,1685,0.06,0.59,0,0,0.71,2.37,95.55,3.74,33.5,12.76,92143
9015825000,8250,Census Tract 8250,Scotland,Northeastern CT,Windham,18.681431,520808396.4,48384683.28,2,1.9,1.7,0.7,2.277778,0,0,0,0,1639,0,0,0.06,0,0.92,6.16,82.92,7.14,26.6,3.9,89625
9015906100,9061,Census Tract 9061,Canterbury,Northeastern CT,Windham,40.207768,1120928230,104137640.2,4.5,3.6,3.9,1.642857,4.111111,0.7,2.73,17.29,1.7,5053,0.91,0,1.21,0,0,4.08,92.1,6.19,66.8,8.33,95364
9015907300,9073,Census Tract 9073,Plainfield,Northeastern CT,Windham,15.691265,437447372.4,40640190.74,6.7,6.2,6.6,2.9875,5.37,3.4,22.44,48.58,4.9,5470,6.18,0,2.52,0,0.91,2.3,89.47,11.92,22.3,11.38,67926
9015900200,9002,Census Tract 9002,Thompson,Northeastern CT,Windham,20.797248,579793998.5,53864625.04,3.2,3.8,3.4,1.8125,3.74,0.7,2.38,15.13,1.5,4541,0.07,0,0,0,0.84,1.15,96.61,2.05,21.3,11.66,73009
9015903200,9032,Census Tract 9032,Putnam,Northeastern CT,Windham,16.919324,471683682.4,43820848.02,5.1,4.3,4.7,3.488889,4.04,3.1,14.57,39.36,3.9,2277,1.36,0.22,2.55,0,0.48,3.03,86.25,7.64,59.6,12.58,80965
9015908100,9081,Census Tract 9081,Sterling,Northeastern CT,Windham,27.285688,760681337.7,70669608.74,4.1,5,4.5,1.533333,1.722222,0.1,0.45,6.03,0.6,3599,2.92,1.42,0.44,0,1.11,3.22,90.8,9.11,47.6,20.73,86394
9015904400,9044,Census Tract 9044,Killingly,Northeastern CT,Windham,7.648417,213225633.4,19809309.55,5.7,7.5,6.8,4.222222,3.777778,4.2,28.56,55.75,5.6,4774,1.01,0.38,0.5,0,4.63,6.64,90.07,13.15,27.5,25.95,56602
9013533103,5331.03,Census Tract 5331.03,Tolland,Capital Region,Tolland,11.418432,318327603,29573602.03,0.4,0.8,0.3,2.4375,3.471429,1.1,0.33,4.55,0.5,4243,0,0,1.06,0,2.43,4.64,93.12,8.13,17.1,16.25,104911
9013533104,5331.04,Census Tract 5331.04,Tolland,Capital Region,Tolland,14.761353,411522911.4,38231729.5,0.4,0,0,3.02,2.7375,1.4,0,0,0,4760,0.13,0,6.26,0,0,2.02,90.86,8.4,10.7,5.65,160508
9013535102,5351.02,Census Tract 5351.02,Ellington,Capital Region,Tolland,10.03218,279681125.7,25983226.81,2.4,0.7,1.2,2,3.82,0.9,1.08,9.56,1,3959,0.08,0,0,0,0,4.29,94.8,4.37,3.2,23.6,102548
9013535101,5351.01,Census Tract 5351.01,Ellington,Capital Region,Tolland,7.354257,205024921.7,19047438.5,3.2,1,1.8,2.6125,3.71,1.5,2.7,16.95,1.7,5900,5.14,0,11.15,0,1.41,0.49,79.22,18.19,9.8,4.24,101607
9013881500,8815,Census Tract 8815,Mansfield,Capital Region,Tolland,12.338928,343989573.6,31957677.12,1.8,6.8,4.1,3.011111,3.35,1.9,7.79,30.38,3,5668,3.74,0.09,11.64,0,3.49,9.39,78.32,28.35,11.2,21.6,57904
9013529100,5291,Census Tract 5291,Bolton,Capital Region,Tolland,14.702828,409891316.1,38080149.33,3.3,2.9,3,2.528571,4.0875,1.7,5.1,24.35,2.4,4839,0.74,0,3.45,0,0.29,5.91,91.07,10.39,11.8,10.22,116393
9013530100,5301,Census Tract 5301,Vernon,Capital Region,Tolland,0.999461,27863375.21,2588592.262,6.2,6.7,6.6,4.7375,4.755556,6.2,40.92,66.89,6.7,2174,1.79,0,0.28,0,3.91,9.02,88.22,15,31.6,12.72,67675
9013530301,5303.01,Census Tract 5303.01,Vernon,Capital Region,Tolland,1.730685,48248741.37,4482454.749,7.8,7.2,7.8,2.675,4.27,2,15.6,41.64,4.2,4967,10.55,0.38,6.06,0,0.7,12.5,73.99,30.2,89.1,21.7,58388
9013530302,5303.02,Census Tract 5303.02,Vernon,Capital Region,Tolland,3.152584,87888995.12,8165154.829,8,5.6,7,3.675,4.433333,3.8,26.6,53.47,5.4,5939,3.08,0.17,12.61,0,4.06,7.9,77.64,27.82,38.1,11.89,94890
9013530400,5304,Census Tract 5304,Vernon,Capital Region,Tolland,1.730746,48250432.77,4482611.886,7.4,6.5,7.3,4.1875,4.1375,4.4,32.12,58.59,5.9,3990,8.52,0.13,8.05,0,4.11,13.81,71.65,34.61,8.8,17.72,72583
9013530500,5305,Census Tract 5305,Vernon,Capital Region,Tolland,2.495481,69570023.18,6463266.646,7.1,4.3,5.8,3.625,3.622222,3,17.4,43.69,4.4,3188,6.87,0,4.67,0,2.16,6.68,83.72,20.39,31.1,19.21,90375
9013881100,8811,Census Tract 8811,Mansfield,Capital Region,Tolland,23.221121,647367704.1,60142427.71,0.9,5.6,3.2,1.671429,2.722222,0.2,0.64,7.05,0.7,5277,0.64,0.15,4.83,0,1.53,6.9,88.19,14.06,64.5,31.27,53428
9013850200,8502,Census Tract 8502,Coventry,Capital Region,Tolland,19.018759,530212569.9,49258359.59,2,2.1,1.8,1.9375,3.65,0.8,1.44,10.58,1.1,6298,1.52,0,4.11,0,0.83,5.27,91.2,11.73,25.4,10.23,93026
9013526102,5261.02,Census Tract 5261.02,Hebron,Capital Region,Tolland,20.392011,568496629.5,52815065.11,0.9,1.9,1,1.883333,3.228571,0.5,0.5,6.26,0.6,5152,0.1,0,1.13,0,0,4.27,96.53,5.49,22.5,7.21,124722
9013526101,5261.01,Census Tract 5261.01,Hebron,Capital Region,Tolland,16.851332,469788175.7,43644749.68,1,1.9,1.1,2.22,3.211111,0.8,0.88,8.3,0.8,3970,0,0,1.08,0,0.78,2.27,95.44,4.13,24.9,6.73,132888
9013890202,8902.02,Census Tract 8902.02,Stafford,Capital Region,Tolland,36.278563,1011388293,93961047.05,2.7,1.8,2.1,2.3625,3.5875,1.1,2.31,14.79,1.5,5013,0.56,0,1.14,0,0.18,1.52,93.96,3.39,49.2,6.82,104063
9013528100,5281,Census Tract 5281,Andover,Capital Region,Tolland,15.69409,437526131.7,40647507.72,3.3,3,3.1,1.716667,2.2,0.2,0.62,6.94,0.7,2998,1.63,0,1.57,0,0,1.03,91.73,4.24,31.2,5.07,102759
9013530200,5302,Census Tract 5302,Vernon,Capital Region,Tolland,1.234912,34427381.19,3198408.372,8.4,8.2,8.5,4.0875,5.333333,5.4,45.9,71.79,7.2,7149,11.08,0.95,0.43,0,6.13,17.55,70.42,36.14,76.6,37.67,54947
